QUANTITY,SKU,ï»¿ORDERCODE
2,19011505031_BEIGE_248,19011505031_BEIGE_248_50
2,19011505031_BEIGE_248,19011505031_BEIGE_248_52
2,19011505031_BEIGE_248,19011505031_BEIGE_248_54
3,YM0YM00027_VERDE_LEX,YM0YM00027_VERDE_LEX_43
11,KL20MBM02_AZZURRO_BLUE,KL20MBM02_AZZURRO_BLUE_M
5,M1RI71I3Z11_GRIGIO_LHY,M1RI71I3Z11_GRIGIO_LHY_M
25,M1RI71I3Z11_GRIGIO_LHY,M1RI71I3Z11_GRIGIO_LHY_L
76,M1RI71I3Z11_GRIGIO_LHY,M1RI71I3Z11_GRIGIO_LHY_XL
23,M1GI97K6XN1_VERDE_G8DA,M1GI97K6XN1_VERDE_G8DA_S
2,M1GI97K6XN1_VERDE_G8DA,M1GI97K6XN1_VERDE_G8DA_M
17,M1GI97K6XN1_VERDE_G8DA,M1GI97K6XN1_VERDE_G8DA_L
14,M1GI97K6XN1_VERDE_G8DA,M1GI97K6XN1_VERDE_G8DA_XL
75,KL20MBM03_ROSSO_RED,KL20MBM03_ROSSO_RED_2XL
4,60815-51932_BIANCO_101,60815-51932_BIANCO_101_XL
66,119148_GRIGIO_REVETION,119148_GRIGIO_REVETION_XL
16,TIPS103_NERO_99-BLACK,TIPS103_NERO_99-BLACK_M
13,TIPS103_NERO_99-BLACK,TIPS103_NERO_99-BLACK_L
1,DW0DW11820_BLU_C87,DW0DW11820_BLU_C87_L
132,K60K608164_NERO_BAX,K60K608164_NERO_BAX_UNI
2,22SWTK64_NERO_2000,22SWTK64_NERO_2000_XL
3,NP0A4GAW-DECATUR-4_VERDE_GE4,NP0A4GAW-DECATUR-4_VERDE_GE4_XL
4,NP0A4GAW-DECATUR-4_BEIGE_NS5,NP0A4GAW-DECATUR-4_BEIGE_NS5_XL
1,21011000170_BIANCO_113,21011000170_BIANCO_113_33-L34
2,21011000170_BIANCO_113,21011000170_BIANCO_113_35-L34
1,21011000170_BIANCO_113,21011000170_BIANCO_113_36-L34
13,GU5211S_MARRONE_52E,GU5211S_MARRONE_52E_UNI
76,KL22MBM09_BIANCO_WHITE,KL22MBM09_BIANCO_WHITE_L
38,KL22MBM09_BIANCO_WHITE,KL22MBM09_BIANCO_WHITE_XL
14,KL22MBM09_NERO_BLACK,KL22MBM09_NERO_BLACK_M
2,AM0AM09275_NERO_BDS,AM0AM09275_NERO_BDS_UNI
14,K50K509195_NERO_BAX,K50K509195_NERO_BAX_95
9,K50K509195_NERO_BAX,K50K509195_NERO_BAX_110
13,K50K509195_NERO_BAX,K50K509195_NERO_BAX_105
20,K50K509195_NERO_BAX,K50K509195_NERO_BAX_100
23,CCMP03-PK001_BLU_07017,CCMP03-PK001_BLU_07017_XL
36,NOBIL004MBYM1_VERDE_MIL002,NOBIL004MBYM1_VERDE_MIL002_42
203,90-1174-000_GRIGIO_0952,90-1174-000_GRIGIO_0952_XL
1,21013030114_BLU_409,21013030114_BLU_409_XL
7,22WAXA76_VERDE_4092,22WAXA76_VERDE_4092_UNI
3,SB865437_GIALLO_LATTE-LOGO-YELLOW,SB865437_GIALLO_LATTE-LOGO-YELLOW_UNI
10,22WAXP43_BEIGE_6000,22WAXP43_BEIGE_6000_UNI
113,119141_BLU_BLU,119141_BLU_BLU_L
38,119544_BLU_BLUETTE,119544_BLU_BLUETTE_XL
9,K50K509540_NERO_BAX,K50K509540_NERO_BAX_M
2,K60K610233_ROSA_GBI,K60K610233_ROSA_GBI_UNI
17,129442_GRIGIO_GREY,129442_GRIGIO_GREY_L
5,129442_BLU_NAVY,129442_BLU_NAVY_M
10,63205-34502_BIANCO_101,63205-34502_BIANCO_101_2XL
1,63205-34502_VERDE_249,63205-34502_VERDE_249_2XL
